"ZIP","County","Pop","ED","HHIncome","Tmax","Ozone"
90001,6037,58802,998,29970,29.8,39.3
90002,6037,53217,961,23092,25.2,37.9
90003,6037,70012,910,40625,23.5,41
90004,6037,63498,1109,75662,27.4,45.6
90005,6037,39697,867,54866,31,48
90006,6037,60969,1368,51006,29.8,46.9
90007,6037,44141,1282,15444,30.8,44.1
90008,6037,33209,465,54318,30.1,39.8
90011,6037,108969,1919,47847,30.6,44.5
90012,6037,34182,672,62292,31.5,45.6
90013,6037,13998,191,85820,31.1,42.7
90014,6037,8929,101,143561,29.6,47.5
90015,6037,20213,274,101050,30.3,44.1
90016,6037,48326,638,61625,33.5,44.4
90017,6037,27958,600,58141,30,47.1
90018,6037,51406,779,70122,26.7,44.6
90019,6037,65462,1149,86228,30.6,44.6
90020,6037,40373,853,59053,30.4,47
90022,6037,68228,1965,40048,23.7,51.1
90023,6037,47824,834,53419,27.8,46
90024,6037,48765,1266,34542,32.6,51.2
90025,6037,44526,707,92969,34.2,45.4
90026,6037,70845,1199,90980,29.1,45.5
90027,6037,46692,1301,91332,26.3,48.4
90028,6037,30523,547,78056,27.5,44.1
90029,6037,40646,805,76094,25.5,47.7
90031,6037,41438,863,95990,24.2,51.6
90032,6037,46911,1221,76364,25.1,48.4
90033,6037,49862,757,67880,29.1,42.7
90034,6037,60211,931,98750,22.1,47.5
90035,6037,30026,446,112625,30.4,45.5
90036,6037,40108,662,90595,30.7,43.2
90037,6037,63676,966,47956,29.9,40.7
90038,6037,30226,571,74830,25.8,45.7
90039,6037,29904,734,109559,24.8,53.9
90040,6037,13039,155,143875,23.8,43.5
90041,6037,29117,867,111250,24.1,56.6
90042,6037,63451,1540,81667,24.4,46.4
90043,6037,45356,469,110993,27.5,40.8
90044,6037,93057,1352,29688,23.2,40.2
90045,6037,42114,397,105714,24.5,35.9
90046,6037,49738,1175,83641,24.5,50.8
90047,6037,51424,499,86250,24.2,35.3
90048,6037,22310,360,115070,30,46.6
90049,6037,38557,693,130673,29.1,48.6
90056,6037,7515,80,87113,30.4,43
90057,6037,43994,1115,47569,28,47.5
90059,6037,43656,751,29045,25.1,40.6
90062,6037,32322,283,110461,29.3,39.3
90063,6037,56983,1222,56163,30,47.7
90064,6037,25894,403,106667,34.2,50.1
90065,6037,45809,1245,89271,23.8,44.3
90066,6037,56891,825,104150,21.6,44.4
90068,6037,24309,553,110208,24.9,52.6
90069,6037,21066,498,83553,25.4,49.3
90077,6037,9493,184,116979,28,47.1
90201,6037,102399,2101,44740,23.9,44.2
90210,6037,22314,441,132961,33.4,52.1
90211,6037,9095,156,72321,31.1,45.6
90212,6037,11676,175,109477,32.6,45.2
90220,6037,50576,621,51600,25.7,38.5
90221,6037,54307,753,55395,26.4,43.1
90230,6037,32610,364,83958,31,42.7
90232,6037,16333,212,115938,25.3,47.5
90240,6037,25549,687,54493,34,46.4
90241,6037,46211,992,54545,35.4,45.2
90242,6037,43681,563,91369,37.3,41.2
90245,6037,17069,156,119444,27.9,41.9
90247,6037,48194,548,61481,23.9,38.7
90248,6037,10155,125,46188,25.9,37.1
90250,6037,97955,1051,65000,23.5,43.1
90254,6037,19940,241,160184,24.9,47
90255,6037,76847,1142,38799,25,42.4
90260,6037,34959,329,85833,25.8,37.1
90262,6037,72881,892,60607,22.4,36.9
90265,6037,19369,316,112813,31.5,48.5
90266,6037,35618,374,122102,27.7,42.6
90274,6037,25317,258,130156,26.4,37
90275,6037,43533,511,92829,23.3,41.1
90277,6037,35823,432,101857,24.8,42.2
90278,6037,41313,355,136591,24.4,39.6
90280,6037,96097,1323,44716,23.8,40.4
90290,6037,6776,141,105250,31.1,53.9
90291,6037,30358,394,142946,31,42.3
90292,6037,23156,328,126364,30.1,46.3
90293,6037,10796,137,124333,22.7,42.6
90301,6037,38038,385,69135,25.5,36.3
90302,6037,29938,375,78854,24.9,39.7
90304,6037,28914,328,60677,23.1,36.3
90305,6037,14501,136,71484,23,38.9
90401,6037,7944,108,160698,28.5,48.1
90402,6037,12451,149,192857,35.5,49.6
90403,6037,25711,372,158913,29.7,49.3
90404,6037,22263,369,94886,32.9,48.4
90405,6037,27044,401,134583,31.4,48.5
90501,6037,44507,481,62448,22.1,38.7
90502,6037,18537,184,89861,22.1,42.1
90503,6037,46557,324,156033,23.9,39.4
90504,6037,32942,341,76875,24.8,37.2
90505,6037,36923,346,128250,22.5,44.5
90602,6037,26109,625,84861,26.5,50.4
90604,6037,41030,973,70938,37.3,48.5
90605,6037,40605,1088,67600,37.4,50.6
90606,6037,32972,777,63370,27.8,50.1
90620,6059,46386,623,87250,28,46.8
90621,6059,36395,895,53419,31.9,51.7
90623,6059,16213,298,50872,37.8,47.5
90630,6059,50790,715,92944,31.7,48.4
90631,6059,70203,1519,90286,28.5,47.3
90638,6059,50147,890,110515,32.1,49.8
90640,6037,64547,2233,55641,24.4,53.8
